SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,fp_similarity,ID,mol_prepared,aligned_mol,RMSD
c1ccc(Nc2nc(N[C@H]3CC[C@H](Oc4cnccn4)CC3)nc3[nH]cnc23)cc1,s_27____12806124____10803818,402.5,2.752762,6,8,3,0.808511,1261,<rdkit.Chem.rdchem.Mol object at 0x177c52c00>,<rdkit.Chem.rdchem.Mol object at 0x177ce2de0>,5.815457094648368
c1ccc(Nc2nc(N[C@H]3C[C@@H](Oc4ccccc4)C3)nc3[nH]cnc23)cc1,s_27____12060302____10803818,372.4,3.558924,6,6,3,0.765957,1193,<rdkit.Chem.rdchem.Mol object at 0x177c52d50>,<rdkit.Chem.rdchem.Mol object at 0x177ce2930>,4.923074296551615
c1ccc(Nc2nc(NCCCOc3ccncc3)nc3[nH]cnc23)cc1,s_27____8925170____10803818,361.4,2.333283,8,7,3,0.765957,1366,<rdkit.Chem.rdchem.Mol object at 0x177c527a0>,<rdkit.Chem.rdchem.Mol object at 0x177c24ef0>,4.717694628401998
c1ccc(Nc2nc(N[C@H]3C[C@@H](COc4ccccc4)C3)nc3[nH]cnc23)cc1,s_27____16536078____10803818,386.5,4.019525,7,6,3,0.765957,572,<rdkit.Chem.rdchem.Mol object at 0x177c52b90>,<rdkit.Chem.rdchem.Mol object at 0x177ce2b10>,5.7905868493947015
COc1ccc(OCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cn1,s_27____25521510____10803818,377.4,2.710109,8,8,3,0.765957,1116,<rdkit.Chem.rdchem.Mol object at 0x177c52ce0>,<rdkit.Chem.rdchem.Mol object at 0x177ce1f80>,5.050691674958492
COc1ccc(OCCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____1323026____10803818,390.4,3.393284,9,7,3,0.765957,1088,<rdkit.Chem.rdchem.Mol object at 0x177c53b50>,<rdkit.Chem.rdchem.Mol object at 0x177c57240>,5.3131030957472705
COc1ccccc1OCC(C)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____2087944____10803818,390.4,3.749899,8,7,3,0.765957,1053,<rdkit.Chem.rdchem.Mol object at 0x177c53c30>,<rdkit.Chem.rdchem.Mol object at 0x177c04f40>,4.65964449095757
COc1ccccc1OCCCNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____3365314____10803818,390.4,3.393284,9,7,3,0.765957,1169,<rdkit.Chem.rdchem.Mol object at 0x177c53d10>,<rdkit.Chem.rdchem.Mol object at 0x177ce3420>,4.702133704071571
COc1cc(OC)cc(OCCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)c1,s_27____6887428____10803818,420.5,3.235612,10,8,3,0.765957,198,<rdkit.Chem.rdchem.Mol object at 0x177c53ca0>,<rdkit.Chem.rdchem.Mol object at 0x177c24b80>,4.814727873558591
c1ccc(Nc2nc(N[C@H]3CC[C@@H](Oc4ccccc4)CC3)nc3[nH]cnc23)cc1,s_27____23466166____10803818,400.5,4.593649,6,6,3,0.765957,202,<rdkit.Chem.rdchem.Mol object at 0x177c53bc0>,<rdkit.Chem.rdchem.Mol object at 0x177c24bd0>,6.028605295350946
c1ccc(Nc2nc(NC3COc4ccccc4OC3)nc3[nH]cnc23)cc1,s_27____25523548____10803818,374.4,3.221566,4,7,3,0.765957,1173,<rdkit.Chem.rdchem.Mol object at 0x177c52650>,<rdkit.Chem.rdchem.Mol object at 0x177ce16c0>,5.004103511205301
c1ccc(Nc2nc(N[C@H]3CCC[C@H]3Oc3ccccc3)nc3[nH]cnc23)cc1,s_27____25526428____10803818,386.5,4.460896,6,6,3,0.765957,515,<rdkit.Chem.rdchem.Mol object at 0x177c53ae0>,<rdkit.Chem.rdchem.Mol object at 0x177c2eac0>,5.825439429406078
c1ccc(Nc2nc(NCCC3COc4ccccc4O3)nc3[nH]cnc23)cc1,s_27____11244338____10803818,388.4,3.281526,6,7,3,0.765957,783,<rdkit.Chem.rdchem.Mol object at 0x177c53290>,<rdkit.Chem.rdchem.Mol object at 0x177ce1670>,5.221010732767906
c1ccc(Nc2nc(NC3CCCCC3Oc3ccccc3)nc3[nH]cnc23)cc1,s_27____25526570____10803818,400.5,4.905464,6,6,3,0.765957,74,<rdkit.Chem.rdchem.Mol object at 0x177c53530>,<rdkit.Chem.rdchem.Mol object at 0x1741f2c00>,6.084007273471346
c1ccc(Nc2nc(NCC3COc4ccccc4O3)nc3[nH]cnc23)cc1,s_27____419562____10803818,374.4,3.221566,5,7,3,0.765957,789,<rdkit.Chem.rdchem.Mol object at 0x177c53610>,<rdkit.Chem.rdchem.Mol object at 0x177c257b0>,4.963720644937814
CC1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)COc2ccccc2O1,s_27____12210936____10803818,388.4,3.502143,5,7,3,0.765957,140,<rdkit.Chem.rdchem.Mol object at 0x177c53140>,<rdkit.Chem.rdchem.Mol object at 0x1741c3d80>,5.202134261729714
