SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,fp_similarity,ID,mol_prepared,aligned_mol,RMSD
c1ccc(Nc2nc(N[C@H]3CC[C@H](Oc4cnccn4)CC3)nc3[nH]cnc23)cc1,s_27____12806124____10803818,402.5,2.752762,6,8,3,0.808511,1261,<rdkit.Chem.rdchem.Mol object at 0x3150caf10>,<rdkit.Chem.rdchem.Mol object at 0x315163a10>,5.89654550137378
c1ccc(Nc2nc(N[C@H]3C[C@@H](Oc4ccccc4)C3)nc3[nH]cnc23)cc1,s_27____12060302____10803818,372.4,3.558924,6,6,3,0.765957,1193,<rdkit.Chem.rdchem.Mol object at 0x3150cad50>,<rdkit.Chem.rdchem.Mol object at 0x3151628e0>,4.936716423066616
c1ccc(Nc2nc(NCCCOc3ccncc3)nc3[nH]cnc23)cc1,s_27____8925170____10803818,361.4,2.333283,8,7,3,0.765957,1366,<rdkit.Chem.rdchem.Mol object at 0x3150cac00>,<rdkit.Chem.rdchem.Mol object at 0x3150ea5c0>,4.732499649210902
c1ccc(Nc2nc(N[C@H]3C[C@@H](COc4ccccc4)C3)nc3[nH]cnc23)cc1,s_27____16536078____10803818,386.5,4.019525,7,6,3,0.765957,572,<rdkit.Chem.rdchem.Mol object at 0x3150caab0>,<rdkit.Chem.rdchem.Mol object at 0x3151632e0>,5.895142714193147
COc1ccc(OCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cn1,s_27____25521510____10803818,377.4,2.710109,8,8,3,0.765957,1116,<rdkit.Chem.rdchem.Mol object at 0x3150ca960>,<rdkit.Chem.rdchem.Mol object at 0x3151639c0>,5.112001771442039
COc1ccc(OCCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____1323026____10803818,390.4,3.393284,9,7,3,0.765957,1088,<rdkit.Chem.rdchem.Mol object at 0x3150ca570>,<rdkit.Chem.rdchem.Mol object at 0x315163c90>,5.407941243387719
COc1ccccc1OCC(C)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____2087944____10803818,390.4,3.749899,8,7,3,0.765957,1053,<rdkit.Chem.rdchem.Mol object at 0x3150ca490>,<rdkit.Chem.rdchem.Mol object at 0x315161da0>,4.668782038263933
COc1ccccc1OCCCNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____3365314____10803818,390.4,3.393284,9,7,3,0.765957,1169,<rdkit.Chem.rdchem.Mol object at 0x3150ca3b0>,<rdkit.Chem.rdchem.Mol object at 0x315163f60>,4.710920830878642
COc1cc(OC)cc(OCCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)c1,s_27____6887428____10803818,420.5,3.235612,10,8,3,0.765957,198,<rdkit.Chem.rdchem.Mol object at 0x3150cba00>,<rdkit.Chem.rdchem.Mol object at 0x315161210>,4.817874139548262
c1ccc(Nc2nc(N[C@H]3CC[C@@H](Oc4ccccc4)CC3)nc3[nH]cnc23)cc1,s_27____23466166____10803818,400.5,4.593649,6,6,3,0.765957,202,<rdkit.Chem.rdchem.Mol object at 0x3150cbae0>,<rdkit.Chem.rdchem.Mol object at 0x315163ba0>,6.225409269510421
c1ccc(Nc2nc(NC3COc4ccccc4OC3)nc3[nH]cnc23)cc1,s_27____25523548____10803818,374.4,3.221566,4,7,3,0.765957,1173,<rdkit.Chem.rdchem.Mol object at 0x3150cbc30>,<rdkit.Chem.rdchem.Mol object at 0x31507cdb0>,5.269260795351917
c1ccc(Nc2nc(N[C@H]3CCC[C@H]3Oc3ccccc3)nc3[nH]cnc23)cc1,s_27____25526428____10803818,386.5,4.460896,6,6,3,0.765957,515,<rdkit.Chem.rdchem.Mol object at 0x3150cbbc0>,<rdkit.Chem.rdchem.Mol object at 0x3150abd80>,5.450121787229408
c1ccc(Nc2nc(NCCC3COc4ccccc4O3)nc3[nH]cnc23)cc1,s_27____11244338____10803818,388.4,3.281526,6,7,3,0.765957,783,<rdkit.Chem.rdchem.Mol object at 0x3150cbca0>,<rdkit.Chem.rdchem.Mol object at 0x31507ca40>,4.485158334201865
c1ccc(Nc2nc(NC3CCCCC3Oc3ccccc3)nc3[nH]cnc23)cc1,s_27____25526570____10803818,400.5,4.905464,6,6,3,0.765957,74,<rdkit.Chem.rdchem.Mol object at 0x3150cac70>,<rdkit.Chem.rdchem.Mol object at 0x3150ea750>,5.775152153388745
c1ccc(Nc2nc(NCC3COc4ccccc4O3)nc3[nH]cnc23)cc1,s_27____419562____10803818,374.4,3.221566,5,7,3,0.765957,789,<rdkit.Chem.rdchem.Mol object at 0x3150caa40>,<rdkit.Chem.rdchem.Mol object at 0x315163dd0>,5.101483359283045
