ID,SMILES_Prepared,Molecule_Prepared,SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,index_ID,fp_similarity,aligned_mol,RMSD
,C[C@H](Nc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1=NO[C@H]2COC[C@@H]12,<rdkit.Chem.rdchem.Mol object at 0x1648e61f0>,CC(Nc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1=NO[C@H]2COC[C@@H]12,m_27____16810052____10803818,365.4,2.342684741,5,8,3,287,0.31666666666666665,<rdkit.Chem.rdchem.Mol object at 0x175236f10>,5.439164277493729
,c1ccc(Nc2nc(NCC3=NO[C@H]4COC[C@@H]34)nc3[nH]cnc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x1648e6180>,c1ccc(Nc2nc(NCC3=NO[C@H]4COC[C@@H]34)nc3nc[nH]c23)cc1,s_27____16721744____10803818,351.4,1.7739204986666666,5,8,3,899,0.31666666666666665,<rdkit.Chem.rdchem.Mol object at 0x175236ab0>,4.919080977106275
,c1ccc(Nc2nc(N3CCO[C@@H](C4CCCC4)C3)nc3[nH]cnc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x1648e62d0>,c1ccc(Nc2nc(N3CCOC(C4CCCC4)C3)nc3nc[nH]c23)cc1,s_27____25520794____10803818,364.5,3.993192600999999,4,6,2,749,0.2909090909090909,<rdkit.Chem.rdchem.Mol object at 0x175236810>,4.8347306317680205
,c1ccc(Nc2nc(NCCN3C[C@H]4CC[C@@H](C3)O4)nc3[nH]cnc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x1648e63b0>,c1ccc(Nc2nc(NCCN3CC4CCC(C3)O4)nc3nc[nH]c23)cc1,s_27____10746442____10803818,365.4,2.1724213253333335,6,7,3,162,0.2909090909090909,<rdkit.Chem.rdchem.Mol object at 0x175237840>,5.0298212551749995
,c1ccc(Nc2nc(NCC3(N4CCCCC4)CCOCC3)nc3[nH]cnc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x1648e6490>,c1ccc(Nc2nc(NCC3(N4CCCCC4)CCOCC3)nc3nc[nH]c23)cc1,s_27____5181522____10803818,407.5,2.476631265127038,6,7,3,770,0.2909090909090909,<rdkit.Chem.rdchem.Mol object at 0x1752367a0>,4.710371615860778
,c1ccc(Nc2nc(N[C@@H]3CCN(CC4CCOCC4)C3)nc3[nH]cnc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x1648e6570>,c1ccc(Nc2nc(NC3CCN(CC4CCOCC4)C3)nc3nc[nH]c23)cc1,s_27____21397900____10803818,393.5,2.1057675955522552,6,7,3,773,0.2909090909090909,<rdkit.Chem.rdchem.Mol object at 0x175236730>,4.970612767887784
,C[C@@H]1CN(CCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)C[C@H](C)O1,<rdkit.Chem.rdchem.Mol object at 0x1648e6650>,CC1CN(CCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CC(C)O1,s_27____245014____10803818,381.5,2.5401995069999996,7,7,3,779,0.2909090909090909,<rdkit.Chem.rdchem.Mol object at 0x1752366c0>,5.010169846097101
,C[C@@H](CCN1CCOCC1)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,<rdkit.Chem.rdchem.Mol object at 0x1648e6730>,CC(CCN1CCOCC1)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25526482____10803818,367.5,2.123624482333333,7,7,3,156,0.2909090909090909,<rdkit.Chem.rdchem.Mol object at 0x1752365e0>,4.7404398308680635
,c1ccc(Nc2nc(NCC3CCN(C4CCOCC4)CC3)nc3[nH]cnc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x1648e6810>,c1ccc(Nc2nc(NCC3CCN(C4CCOCC4)CC3)nc3nc[nH]c23)cc1,s_27____11947970____10803818,407.5,2.1238957861208725,6,7,3,932,0.2909090909090909,<rdkit.Chem.rdchem.Mol object at 0x175236570>,4.9475705388893365
,CC(C)(C)OC[C@H]1CCCN(c2nc(Nc3ccccc3)c3[nH]cnc3n2)C1,<rdkit.Chem.rdchem.Mol object at 0x1648e6960>,CC(C)(C)OCC1CCCN(c2nc(Nc3ccccc3)c3[nH]cnc3n2)C1,s_27____15732900____10803818,380.5,3.9995145989999994,6,6,2,810,0.2909090909090909,<rdkit.Chem.rdchem.Mol object at 0x175236650>,4.856445840209925
,C[C@@H]1COCCN1[C@@H](C)CNc1nc(Nc2ccccc2)c2[nH]cnc2n1,<rdkit.Chem.rdchem.Mol object at 0x1648e68f0>,CC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)N1CCOCC1C,s_27____4821040____10803818,367.5,2.4802397679999997,6,7,3,823,0.2909090909090909,<rdkit.Chem.rdchem.Mol object at 0x175236500>,5.0268368147032145
