Molecule,SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,index_ID,fp_similarity,mol,mol_prepared
<rdkit.Chem.rdchem.Mol object at 0x169b8b760>,c1ccc(Nc2nc(N[C@H]3CC[C@H](Oc4cnccn4)CC3)nc3nc[nH]c23)cc1,s_27____12806124____10803818,402.5,2.752761947666667,6,8,3,1261,0.8085106382978723,<rdkit.Chem.rdchem.Mol object at 0x1754340b0>,<rdkit.Chem.rdchem.Mol object at 0x1754294d0>
<rdkit.Chem.rdchem.Mol object at 0x169b6f300>,c1ccc(Nc2nc(N[C@H]3C[C@@H](Oc4ccccc4)C3)nc3nc[nH]c23)cc1,s_27____12060302____10803818,372.4,3.5589239296666664,6,6,3,1193,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x175435310>,<rdkit.Chem.rdchem.Mol object at 0x17542ace0>
<rdkit.Chem.rdchem.Mol object at 0x169bce030>,c1ccc(Nc2nc(NCCCOc3ccncc3)nc3nc[nH]c23)cc1,s_27____8925170____10803818,361.4,2.333282567,8,7,3,1366,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x175434190>,<rdkit.Chem.rdchem.Mol object at 0x17542ac70>
<rdkit.Chem.rdchem.Mol object at 0x169339a10>,c1ccc(Nc2nc(N[C@H]3C[C@@H](COc4ccccc4)C3)nc3nc[nH]c23)cc1,s_27____16536078____10803818,386.5,4.019524678333333,7,6,3,572,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x175434200>,<rdkit.Chem.rdchem.Mol object at 0x1754290e0>
<rdkit.Chem.rdchem.Mol object at 0x169b4a880>,COc1ccc(OCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cn1,s_27____25521510____10803818,377.4,2.710109092333334,8,8,3,1116,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x175434270>,<rdkit.Chem.rdchem.Mol object at 0x17542ad50>
<rdkit.Chem.rdchem.Mol object at 0x169b48c10>,COc1ccc(OCCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____1323026____10803818,390.4,3.3932837283333335,9,7,3,1088,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x1754342e0>,<rdkit.Chem.rdchem.Mol object at 0x17542adc0>
<rdkit.Chem.rdchem.Mol object at 0x169b32810>,COc1ccccc1OCC(C)Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____2087944____10803818,390.4,3.749899014,8,7,3,1053,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x175434350>,<rdkit.Chem.rdchem.Mol object at 0x17542ae30>
<rdkit.Chem.rdchem.Mol object at 0x169b6dcb0>,COc1ccccc1OCCCNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____3365314____10803818,390.4,3.3932837283333335,9,7,3,1169,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x1754343c0>,<rdkit.Chem.rdchem.Mol object at 0x17542aea0>
<rdkit.Chem.rdchem.Mol object at 0x15e42ab20>,COc1cc(OC)cc(OCCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)c1,s_27____6887428____10803818,420.5,3.2356124626666674,10,8,3,198,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x175434430>,<rdkit.Chem.rdchem.Mol object at 0x17542af10>
<rdkit.Chem.rdchem.Mol object at 0x15e42aea0>,c1ccc(Nc2nc(N[C@H]3CC[C@@H](Oc4ccccc4)CC3)nc3nc[nH]c23)cc1,s_27____23466166____10803818,400.5,4.593649271666667,6,6,3,202,0.7659574468085106,<rdkit.Chem.rdchem.Mol object at 0x175434510>,<rdkit.Chem.rdchem.Mol object at 0x175429380>
