ligand_100 : Success ; best_aff=-9.905
ligand_1019 : Success ; best_aff=-9.102
ligand_1020 : Success ; best_aff=-8.452
ligand_1023 : Success ; best_aff=-8.547
ligand_1027 : Success ; best_aff=-9.323
ligand_1035 : Success ; best_aff=-9.696
ligand_1046 : Success ; best_aff=-9.304
ligand_1049 : Success ; best_aff=-8.947
ligand_1051 : Success ; best_aff=-9.038
ligand_1053 : Success ; best_aff=-8.979
ligand_106 : Success ; best_aff=-9.846
ligand_1069 : Success ; best_aff=-9.155
ligand_108 : Success ; best_aff=-9.383
ligand_1088 : Success ; best_aff=-8.388
ligand_110 : Success ; best_aff=-8.554
ligand_1103 : Success ; best_aff=-9.055
ligand_1104 : Success ; best_aff=-10.29
ligand_1110 : Success ; best_aff=-9.575
ligand_1116 : Success ; best_aff=-8.769
ligand_1119 : Success ; best_aff=-9.371
ligand_1146 : Success ; best_aff=-9.263
ligand_1147 : Success ; best_aff=-9.004
ligand_115 : Success ; best_aff=-9.059
ligand_1150 : Success ; best_aff=-10.76
ligand_116 : Success ; best_aff=-9.027
ligand_1163 : Success ; best_aff=-8.792
ligand_1165 : Success ; best_aff=-8.806
ligand_1169 : Success ; best_aff=-9.02
ligand_1173 : Success ; best_aff=-9.568
ligand_1175 : Success ; best_aff=-9.939
ligand_1177 : Success ; best_aff=-9.468
ligand_1178 : Success ; best_aff=-8.613
ligand_118 : Success ; best_aff=-9.403
ligand_1181 : Success ; best_aff=-9.244
ligand_1182 : Success ; best_aff=-9.189
ligand_1192 : Success ; best_aff=-9.552
ligand_1193 : Success ; best_aff=-9.759
ligand_1194 : Success ; best_aff=-10.36
ligand_1197 : Success ; best_aff=-8.702
ligand_120 : Success ; best_aff=-8.693
ligand_1203 : Success ; best_aff=-9.492
ligand_1206 : Success ; best_aff=-9.148
ligand_1211 : Success ; best_aff=-7.79
ligand_1213 : Success ; best_aff=-9.237
ligand_1214 : Success ; best_aff=-8.892
ligand_1217 : Success ; best_aff=-9.127
ligand_1231 : Success ; best_aff=-9.265
ligand_1233 : Success ; best_aff=-8.185
ligand_1235 : Success ; best_aff=-8.87
ligand_1244 : Success ; best_aff=-9.8
ligand_1247 : Success ; best_aff=-8.693
ligand_1261 : Success ; best_aff=-9.254
ligand_1270 : Success ; best_aff=-9.895
ligand_1283 : Success ; best_aff=-8.981
ligand_1295 : Success ; best_aff=-9.524
ligand_1313 : Success ; best_aff=-9.552
ligand_1323 : Success ; best_aff=-8.919
ligand_1333 : Success ; best_aff=-9.737
ligand_1340 : Success ; best_aff=-8.965
ligand_1350 : Success ; best_aff=-8.097
ligand_1361 : Success ; best_aff=-9.576
