ligand,best_affinity_kcal_per_mol,out_pdbqt,log_path,success
ligand_100,-9.905,vina_docking_output/ligand_100_out.pdbqt,vina_docking_output/ligand_100.log,True
ligand_1019,-9.102,vina_docking_output/ligand_1019_out.pdbqt,vina_docking_output/ligand_1019.log,True
ligand_1020,-8.452,vina_docking_output/ligand_1020_out.pdbqt,vina_docking_output/ligand_1020.log,True
ligand_1023,-8.547,vina_docking_output/ligand_1023_out.pdbqt,vina_docking_output/ligand_1023.log,True
ligand_1027,-9.323,vina_docking_output/ligand_1027_out.pdbqt,vina_docking_output/ligand_1027.log,True
ligand_1035,-9.696,vina_docking_output/ligand_1035_out.pdbqt,vina_docking_output/ligand_1035.log,True
ligand_1046,-9.304,vina_docking_output/ligand_1046_out.pdbqt,vina_docking_output/ligand_1046.log,True
ligand_1049,-8.947,vina_docking_output/ligand_1049_out.pdbqt,vina_docking_output/ligand_1049.log,True
ligand_1051,-9.038,vina_docking_output/ligand_1051_out.pdbqt,vina_docking_output/ligand_1051.log,True
ligand_1053,-8.979,vina_docking_output/ligand_1053_out.pdbqt,vina_docking_output/ligand_1053.log,True
ligand_106,-9.846,vina_docking_output/ligand_106_out.pdbqt,vina_docking_output/ligand_106.log,True
ligand_1069,-9.155,vina_docking_output/ligand_1069_out.pdbqt,vina_docking_output/ligand_1069.log,True
ligand_108,-9.383,vina_docking_output/ligand_108_out.pdbqt,vina_docking_output/ligand_108.log,True
ligand_1088,-8.388,vina_docking_output/ligand_1088_out.pdbqt,vina_docking_output/ligand_1088.log,True
ligand_110,-8.554,vina_docking_output/ligand_110_out.pdbqt,vina_docking_output/ligand_110.log,True
ligand_1103,-9.055,vina_docking_output/ligand_1103_out.pdbqt,vina_docking_output/ligand_1103.log,True
ligand_1104,-10.29,vina_docking_output/ligand_1104_out.pdbqt,vina_docking_output/ligand_1104.log,True
ligand_1110,-9.575,vina_docking_output/ligand_1110_out.pdbqt,vina_docking_output/ligand_1110.log,True
ligand_1116,-8.769,vina_docking_output/ligand_1116_out.pdbqt,vina_docking_output/ligand_1116.log,True
ligand_1119,-9.371,vina_docking_output/ligand_1119_out.pdbqt,vina_docking_output/ligand_1119.log,True
ligand_1146,-9.263,vina_docking_output/ligand_1146_out.pdbqt,vina_docking_output/ligand_1146.log,True
ligand_1147,-9.004,vina_docking_output/ligand_1147_out.pdbqt,vina_docking_output/ligand_1147.log,True
ligand_115,-9.059,vina_docking_output/ligand_115_out.pdbqt,vina_docking_output/ligand_115.log,True
ligand_1150,-10.76,vina_docking_output/ligand_1150_out.pdbqt,vina_docking_output/ligand_1150.log,True
ligand_116,-9.027,vina_docking_output/ligand_116_out.pdbqt,vina_docking_output/ligand_116.log,True
ligand_1163,-8.792,vina_docking_output/ligand_1163_out.pdbqt,vina_docking_output/ligand_1163.log,True
ligand_1165,-8.806,vina_docking_output/ligand_1165_out.pdbqt,vina_docking_output/ligand_1165.log,True
ligand_1169,-9.02,vina_docking_output/ligand_1169_out.pdbqt,vina_docking_output/ligand_1169.log,True
ligand_1173,-9.568,vina_docking_output/ligand_1173_out.pdbqt,vina_docking_output/ligand_1173.log,True
ligand_1175,-9.939,vina_docking_output/ligand_1175_out.pdbqt,vina_docking_output/ligand_1175.log,True
ligand_1177,-9.468,vina_docking_output/ligand_1177_out.pdbqt,vina_docking_output/ligand_1177.log,True
ligand_1178,-8.613,vina_docking_output/ligand_1178_out.pdbqt,vina_docking_output/ligand_1178.log,True
